author(s)
Masha Bešlin
Petr Biskup
Olga Borik & Ismael Teomiro
Daniel Boucník
Olga Buchmueller & et al. 
Madeleine Butschety
Nicola Lampitelli & Marko Simonović 
Jakob Majdič
Ora Matushansky
Ora Matushansky
Stefan Milosavljević
Luca Molinari
Mariia Onoeva & Maria Razguliaeva
Daria Paramonova
Daniel Shevchenko
Anna Staňková
Ema Štarkl & Sašo Živanovič 
Toth Szilard
Guy Tabachnick
Lukáš Žoha
